"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\services\analytics_service.dart", "Dart", 158, 0, 10, 168
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\services\certificate_service.dart", "Dart", 42, 0, 6, 48
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\services\cloudinary_service.dart", "Dart", 38, 0, 5, 43
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\services\dummy_data_service.dart", "Dart", 880, 6, 62, 948
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\services\file_download_service.dart", "Dart", 61, 7, 11, 79
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\services\font_service.dart", "Dart", 77, 0, 10, 87
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\services\payment_service.dart", "Dart", 93, 4, 19, 116
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\services\storage_service.dart", "Dart", 14, 0, 5, 19
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\services\user_service.dart", "Dart", 8, 0, 3, 11
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\auth\forgot_password_screen.dart", "Dart", 97, 2, 10, 109
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\auth\login_screen.dart", "Dart", 212, 4, 15, 231
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\auth\register_screen.dart", "Dart", 228, 2, 10, 240
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\certificate\certificate_preview_screen.dart", "Dart", 152, 0, 12, 164
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\certificate\certificate_widget.dart", "Dart", 157, 0, 4, 161
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\chat\chat_list_screen.dart", "Dart", 104, 0, 6, 110
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\chat\chat_screen.dart", "Dart", 74, 1, 4, 79
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\chat\widgets\chat_tile.dart", "Dart", 85, 0, 6, 91
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\chat\widgets\message_bubble.dart", "Dart", 26, 0, 4, 30
"c:\Users\xuant\Documents\ElearningApp\elearning_app\lib\view\chat\widgets\message_input.dart", "Dart", 43, 0, 5, 48
